mida_1000,algoritme,temps_ms,grup
8,quicksort,0.5592,B
4.5,mergesort,0.4742145538330078,A
5,quicksort,0.31113624572753906,A
10,mergesort,0.9721000000000001,B
5,mergesort,0.5141,B
2.2,quicksort,0.089168548583984375,A
5,quicksort,0.21696090698242188,A
3.9,mergesort,0.40793418884277344,A
0.3,quicksort,0.013113021850585938,A
1.7,quicksort,0.06699562072753906,A
1.4,quicksort,0.05221366882324219,A
1.4,quicksort,0.054836273193359375,A
1.8,mergesort,0.18596649169921875,A
3.5,mergesort,0.3688335418701172,A
7,quicksort,0.8283,B
3,quicksort,0.12111663818359375,A
0.6,quicksort,0.0209808349609375,A
3,mergesort,0.3228187561035156,A
1,quicksort,0.0416,B
2,mergesort,0.29960000000000003,B
4.3,mergesort,0.4849433898925781,A
2.2,quicksort,0.08487701416015625,A
10,mergesort,2.0024,B
1.2,quicksort,0.04601478576660156,A
4.5,quicksort,0.19598007202148438,A
8,mergesort,0.6922,B
4.6,mergesort,0.5168914794921875,A
1,mergesort,0.0863,B
4.1,mergesort,0.4241466522216797,A
10,quicksort,0.5688,B
6,quicksort,0.39809999999999995,B
2.2,mergesort,0.5831718444824219,A
1,mergesort,0.0949,B
2.4,quicksort,0.1049041748046875,A
1.9,quicksort,0.07700920104980469,A
9,mergesort,1.3323,B
7,mergesort,0.9810000000000001,B
3,mergesort,0.2887,B
2.8,mergesort,0.2999305725097656,A
1,mergesort,0.0853,B
8,mergesort,0.7433,B
0.2,mergesort,0.0209808349609375,A
3,mergesort,0.4177,B
1,quicksort,0.0369,B
4.3,quicksort,0.1900196075439453,A
4.9,mergesort,0.5238056182861328,A
2.8,mergesort,0.2968311309814453,A
4.4,mergesort,0.4940032958984375,A
4,mergesort,0.5063,B
2.6,mergesort,0.2739429473876953,A
0.8,quicksort,0.029087066650390625,A
3.4,quicksort,0.14090538024902344,A
7,quicksort,0.5608,B
1.1,mergesort,0.11587142944335938,A
5,quicksort,0.31310000000000004,B
2.1,mergesort,0.2200603485107422,A
0.2,quicksort,0.0069141387939453125,A
9,quicksort,0.5013,B
0.9,mergesort,0.092983245849609375,A
2.3,mergesort,0.24700164794921875,A
10,mergesort,1.7639,B
0.6,mergesort,0.0629425048828125,A
2,mergesort,0.2608,B
4.4,quicksort,0.1888275146484375,A
5,mergesort,0.53310394287109375,A
3.3,mergesort,0.3490447998046875,A
3,quicksort,0.125885009765625,A
3.2,mergesort,0.3540515899658203,A
3,mergesort,0.32739999999999997,B
3.3,mergesort,0.3490447998046875,A
4.8,mergesort,0.5619525909423828,A
3.2,quicksort,0.13899803161621094,A
3.3,mergesort,0.3578662872314453,A
10,mergesort,1.5794,B
4.9,quicksort,0.22292137145996094,A
2,quicksort,0.09670000000000001,B
10,quicksort,0.5701999999999999,B
